Design file name,File type,Open source license,Location
skimmer_clamp_M3,STL & CAD (F3Z; STEP),CERN-OHL-W,https://doi.org/10.17605/OSF.IO/PYJCH
skimmer_height_block_<height>mm.stl,STL,CERN-OHL-W,https://doi.org/10.17605/OSF.IO/PYJCH
perfusion_lid_drill_jig,STL & CAD (STEP),CERN-OHL-W,https://doi.org/10.17605/OSF.IO/PYJCH
valve_clip_base,STL & CAD (STEP),CERN-OHL-W,https://doi.org/10.17605/OSF.IO/PYJCH 
fetbox_complete,"CAD (F3D, STEP)",CERN-OHL-W,https://doi.org/10.17605/OSF.IO/CRJVB
fetbox_enclosure_base,STL,CERN-OHL-W,https://doi.org/10.17605/OSF.IO/CRJVB
fetbox_enclosure_lid,STL,CERN-OHL-W,https://doi.org/10.17605/OSF.IO/CRJVB
FETbox_rev0_Gerber_JLCPCB,Gerber CAM (ZIP’ed folder),CERN-OHL-W,https://doi.org/10.17605/OSF.IO/CRJVB
FETbox_rev0_PCB,EAGLE design files (SCH + BRD),CERN-OHL-W,https://doi.org/10.17605/OSF.IO/CRJVB
Firmware_FETbox.ino,Firmware (INO),CERN-OHL-W,https://doi.org/10.17605/OSF.IO/CRJVB
plateflo,Python package,GNU-GPL3+,`PyPI <https://pypi.org/project/plateflo/>`_; `Source <https://doi.org/10.17605/OSF.IO/PYJCH>`_
